"Energy (eV)"	"Flux (ph/s/0.1%B.W.)"
9.41386e+4	3.49845e+13
9.42720e+4	3.47143e+13
9.44053e+4	3.44460e+13
9.45386e+4	3.41798e+13
9.46719e+4	3.39157e+13
9.48053e+4	3.36535e+13
9.49386e+4	3.33933e+13
9.50719e+4	3.31351e+13
9.52052e+4	3.28788e+13
9.53386e+4	3.26245e+13
9.54719e+4	3.23721e+13
9.56052e+4	3.21216e+13
9.57385e+4	3.18731e+13
9.58719e+4	3.16264e+13
9.60052e+4	3.13816e+13
9.61385e+4	3.11386e+13
9.62719e+4	3.08975e+13
9.64052e+4	3.06583e+13
9.65385e+4	3.04208e+13
9.66718e+4	3.01852e+13
9.68052e+4	2.99513e+13
9.69385e+4	2.97193e+13
9.70718e+4	2.94890e+13
9.72051e+4	2.92604e+13
9.73385e+4	2.90336e+13
9.74718e+4	2.88085e+13
9.76051e+4	2.85851e+13
9.77384e+4	2.83634e+13
9.78718e+4	2.81435e+13
9.80051e+4	2.79251e+13
9.81384e+4	2.77085e+13
9.82718e+4	2.74935e+13
9.84051e+4	2.72802e+13
9.85384e+4	2.70684e+13
9.86717e+4	2.68583e+13
9.88051e+4	2.66498e+13
9.89384e+4	2.64429e+13
9.90717e+4	2.62375e+13
9.92050e+4	2.60338e+13
9.93384e+4	2.58315e+13
9.94717e+4	2.56309e+13
9.96050e+4	2.54317e+13
9.97383e+4	2.52341e+13
9.98717e+4	2.50380e+13
1.00005e+5	2.48434e+13
1.00138e+5	2.46503e+13
1.00272e+5	2.44586e+13
1.00405e+5	2.42684e+13
1.00538e+5	2.40797e+13
1.00672e+5	2.38924e+13
1.00805e+5	2.37066e+13
1.00938e+5	2.35221e+13
1.01072e+5	2.33391e+13
1.01205e+5	2.31575e+13
1.01338e+5	2.29773e+13
1.01472e+5	2.27984e+13
1.01605e+5	2.26209e+13
1.01738e+5	2.24448e+13
1.01872e+5	2.22701e+13
1.02005e+5	2.20966e+13
1.02138e+5	2.19245e+13
1.02272e+5	2.17537e+13
1.02405e+5	2.15843e+13
1.02538e+5	2.14161e+13
1.02672e+5	2.12492e+13
1.02805e+5	2.10836e+13
1.02938e+5	2.09193e+13
1.03072e+5	2.07562e+13
1.03205e+5	2.05944e+13
1.03338e+5	2.04338e+13
1.03471e+5	2.02745e+13
1.03605e+5	2.01164e+13
1.03738e+5	1.99595e+13
1.03871e+5	1.98038e+13
1.04005e+5	1.96492e+13
1.04138e+5	1.94959e+13
1.04271e+5	1.93438e+13
1.04405e+5	1.91928e+13
1.04538e+5	1.90430e+13
1.04671e+5	1.88944e+13
1.04805e+5	1.87468e+13
1.04938e+5	1.86005e+13
1.05071e+5	1.84552e+13
1.05205e+5	1.83111e+13
1.05338e+5	1.81681e+13
1.05471e+5	1.80261e+13
1.05605e+5	1.78853e+13
1.05738e+5	1.77456e+13
1.05871e+5	1.76069e+13
1.06005e+5	1.74693e+13
1.06138e+5	1.73327e+13
1.06271e+5	1.71973e+13
1.06405e+5	1.70628e+13
1.06538e+5	1.69294e+13
1.06671e+5	1.67970e+13
1.06805e+5	1.66657e+13
1.06938e+5	1.65353e+13
1.07071e+5	1.64060e+13
1.07205e+5	1.62776e+13
1.07338e+5	1.61503e+13
1.07471e+5	1.60239e+13
1.07605e+5	1.58985e+13
1.07738e+5	1.57741e+13
1.07871e+5	1.56506e+13
1.08005e+5	1.55281e+13
1.08138e+5	1.54065e+13
1.08271e+5	1.52859e+13
1.08405e+5	1.51662e+13
1.08538e+5	1.50474e+13
1.08671e+5	1.49296e+13
1.08805e+5	1.48126e+13
1.08938e+5	1.46966e+13
1.09071e+5	1.45814e+13
1.09205e+5	1.44672e+13
1.09338e+5	1.43538e+13
1.09471e+5	1.42413e+13
1.09605e+5	1.41297e+13
1.09738e+5	1.40189e+13
1.09871e+5	1.39090e+13
1.10004e+5	1.38000e+13
1.10138e+5	1.36917e+13
1.10271e+5	1.35844e+13
1.10404e+5	1.34778e+13
1.10538e+5	1.33721e+13
1.10671e+5	1.32672e+13
1.10804e+5	1.31631e+13
1.10938e+5	1.30599e+13
1.11071e+5	1.29574e+13
1.11204e+5	1.28557e+13
1.11338e+5	1.27548e+13
1.11471e+5	1.26547e+13
1.11604e+5	1.25553e+13
1.11738e+5	1.24568e+13
1.11871e+5	1.23590e+13
1.12004e+5	1.22619e+13
1.12138e+5	1.21656e+13
1.12271e+5	1.20701e+13
1.12404e+5	1.19753e+13
1.12538e+5	1.18812e+13
1.12671e+5	1.17879e+13
1.12804e+5	1.16953e+13
1.12938e+5	1.16034e+13
1.13071e+5	1.15122e+13
1.13204e+5	1.14217e+13
1.13338e+5	1.13319e+13
1.13471e+5	1.12429e+13
1.13604e+5	1.11545e+13
1.13738e+5	1.10668e+13
1.13871e+5	1.09798e+13
1.14004e+5	1.08934e+13
1.14138e+5	1.08078e+13
1.14271e+5	1.07228e+13
1.14404e+5	1.06384e+13
1.14538e+5	1.05547e+13
1.14671e+5	1.04717e+13
1.14804e+5	1.03893e+13
1.14938e+5	1.03076e+13
